Food,Serving,Calories
Tomato,1 g,77 cal
Bacon,1 oz,374 cal
Rice,1 cup,177 cal
Chips,2 slice,356 cal
Tortilla,2 cup,55 cal
Thyme,1 cup,385 cal
Bagel,1 piece,562 cal
Blueberry,2 oz,384 cal
Milk,2 slice,146 cal
Peas,2 g,435 cal
Thyme,1 piece,506 cal
Avocado,1 slice,114 cal
Hummus,1 g,192 cal
Avocado,1 oz,234 cal
Green Beans,2 g,435 cal
Mint,1 g,206 cal
Pistachios,1 g,127 cal
Salsa,2 g,314 cal
Yogurt,1 slice,50 cal
Granola,2 cup,30 cal
Honey,2 slice,198 cal
Salmon,1 oz,446 cal
Cereal,1 g,529 cal
Granola,1 slice,590 cal
Cantaloupe,2 oz,297 cal
Mushroom,2 oz,213 cal
Tuna,1 piece,307 cal
Almonds,1 g,518 cal
Sage,2 oz,402 cal
Grapes,2 cup,43 cal
Bread,1 g,211 cal
Peanut Butter,1 piece,382 cal
Green Peas,1 g,535 cal
Black Beans,2 piece,317 cal
Lamb Chop,1 g,441 cal
Walnuts,1 slice,393 cal
Fig,1 g,274 cal
Cabbage,2 oz,486 cal
Blueberry,1 oz,79 cal
Honey,1 g,308 cal
Dates,1 slice,321 cal
Lamb,2 g,562 cal
Apple,2 g,521 cal
Pork Chop,2 slice,257 cal
Lamb Chop,1 slice,232 cal
Cereal,1 piece,297 cal
Zucchini,1 cup,519 cal
Bread,1 piece,228 cal
Beef Steak,2 piece,442 cal
Radish,2 cup,225 cal
Sage,1 piece,231 cal
Fig,1 cup,82 cal
Tofu,1 cup,354 cal
Granola,2 slice,553 cal
Basil,1 g,404 cal
Sweet Potato,2 oz,25 cal
Spinach,1 piece,31 cal
Cashews,2 slice,352 cal
Pomegranate,2 g,561 cal
Fig,2 g,90 cal
Red Lentils,2 piece,352 cal
Strawberry,2 slice,431 cal
Yogurt,2 piece,262 cal
Bagel,2 piece,159 cal
Lettuce,2 g,391 cal
Almonds,1 slice,19 cal
Basil,1 slice,158 cal
Chicken Breast,2 oz,28 cal
Pork Chop,2 g,541 cal
Quinoa,2 cup,241 cal
Almonds,1 slice,7 cal
Chia Seeds,1 slice,56 cal
Pineapple,1 slice,127 cal
Granola,1 g,261 cal
Cantaloupe,1 slice,485 cal
Sage,2 g,69 cal
Sausage,2 oz,389 cal
Tofu,2 piece,448 cal
Banana,1 piece,50 cal
Raspberry,2 cup,554 cal
Chia Seeds,2 oz,469 cal
Beef Steak,2 piece,41 cal
Apple,2 oz,45 cal
Zucchini,2 oz,508 cal
Red Lentils,2 piece,414 cal
Watermelon,1 slice,343 cal
Rosemary,2 piece,590 cal
Bacon,1 oz,572 cal
Pancake,2 piece,105 cal
Tofu,1 cup,17 cal
Kale,2 oz,25 cal
Sweet Potato,2 oz,459 cal
Blueberry,1 piece,461 cal
Sausage,1 g,292 cal
Mint,1 slice,321 cal
Peas,1 g,275 cal
Chicken Nugget,1 oz,210 cal
Bread,2 oz,292 cal
Black Beans,1 g,326 cal
Pork Chop,2 g,103 cal
Salmon,2 g,96 cal
Tortilla,1 piece,27 cal
Quinoa,2 oz,560 cal
Ginger,1 slice,247 cal
French Fries,1 slice,254 cal
Burger,1 g,594 cal
Banana,1 cup,330 cal
Turkey,1 g,203 cal
Cantaloupe,1 slice,416 cal
Eggplant,1 slice,74 cal
Raspberry,1 piece,42 cal
Cheese,1 cup,7 cal
Chocolate,2 slice,290 cal
Eggplant,1 oz,184 cal
Brownie,1 piece,590 cal
Papaya,2 cup,538 cal
Carrot,1 slice,49 cal
Almonds,2 slice,116 cal
Blueberry,2 cup,187 cal
Potato,2 g,443 cal
Cheese,2 slice,565 cal
Garlic,2 piece,240 cal
Corn,2 oz,68 cal
Butter,1 piece,221 cal
Chicken Breast,1 oz,388 cal
Maple Syrup,2 piece,444 cal
Butter,1 g,216 cal
Tofu,1 cup,56 cal
Tofu,2 piece,563 cal
Pumpkin,1 piece,165 cal
Pizza,2 piece,7 cal
Dates,2 g,333 cal
Pork Chop,2 piece,368 cal
Brownie,2 g,532 cal
Granola,1 cup,453 cal
Flax Seeds,1 cup,53 cal
Soy Milk,1 oz,594 cal
Raisins,2 cup,292 cal
Blueberry,2 oz,513 cal
Sweet Potato,2 oz,578 cal
Strawberry,2 cup,414 cal
Corn,2 piece,190 cal
Cauliflower,2 slice,436 cal
Dates,1 cup,239 cal
Hummus,1 cup,348 cal
Mango,2 cup,156 cal
Green Peas,2 cup,520 cal
Brown Rice,1 cup,281 cal
Broccoli,2 piece,395 cal
Raisins,1 slice,429 cal
Brownie,2 slice,336 cal
Apple,2 oz,309 cal
Turkey,2 piece,179 cal
Brown Rice,1 piece,418 cal
Watermelon,1 oz,521 cal
Bagel,1 oz,210 cal
Corn,2 piece,374 cal
Cabbage,1 g,531 cal
Cereal,2 oz,254 cal
Yogurt,1 cup,209 cal
Black Beans,2 slice,499 cal
Brown Rice,2 piece,348 cal
Tomato,2 slice,392 cal
Salmon,1 cup,305 cal
Donut,2 oz,569 cal
Broccoli,2 cup,345 cal
Mushroom,2 slice,131 cal
Pancake,2 slice,13 cal
Sweet Potato,1 piece,219 cal
Rosemary,2 cup,255 cal
Soup,2 oz,462 cal
Cabbage,1 oz,40 cal
Yogurt,2 cup,310 cal
Bacon,2 slice,46 cal
Yogurt,1 cup,284 cal
Pancake,2 g,30 cal
Brown Rice,2 oz,582 cal
Peanut Butter,1 slice,453 cal
Almonds,1 slice,503 cal
Radish,1 g,239 cal
Bagel,1 oz,46 cal
Peanut Butter,2 g,535 cal
Basil,2 oz,500 cal
Brown Rice,1 piece,548 cal
Cashews,2 oz,561 cal
Pomegranate,1 g,517 cal
Beef Steak,2 oz,149 cal
Brussels Sprout,2 slice,11 cal
Egg,2 oz,410 cal
Beetroot,2 slice,191 cal
Mushroom,1 cup,586 cal
Chicken Breast,2 slice,144 cal
Pineapple,1 oz,395 cal
Pistachios,2 oz,237 cal
Carrot,1 piece,461 cal
Red Lentils,1 oz,308 cal
Dates,1 g,530 cal
Flax Seeds,1 piece,101 cal
Milk,2 cup,336 cal
Egg,2 piece,465 cal
Lamb Chop,1 g,28 cal
Cucumber,1 cup,456 cal
Turkey,2 oz,105 cal
Raisins,2 slice,191 cal
Coconut,1 oz,348 cal
Ice Cream,2 cup,30 cal
Sandwich,1 cup,91 cal
Granola,2 oz,237 cal
Bell Pepper,2 oz,348 cal
Pretzel,1 slice,459 cal
Tortilla,1 oz,210 cal
Burger,1 slice,5 cal
Basil,1 g,334 cal
Raspberry,2 g,175 cal
Potato,2 slice,95 cal
Pomegranate,2 piece,20 cal
Eggplant,1 oz,412 cal
Ice Cream,2 cup,583 cal
Green Peas,2 cup,496 cal
Red Lentils,2 g,64 cal
Green Peas,1 slice,593 cal
Mango,1 oz,98 cal
Zucchini,2 cup,569 cal
Shrimp,1 g,595 cal
Granola,1 oz,266 cal
Hummus,1 oz,187 cal
Bread,1 cup,155 cal
Oatmeal,1 oz,339 cal
Cheese,1 cup,240 cal
Avocado,1 slice,309 cal
Potato,2 oz,347 cal
Fig,1 oz,366 cal
Chia Seeds,1 piece,146 cal
Sweet Potato,1 piece,203 cal
Garlic,1 piece,57 cal
Sweet Potato,1 oz,484 cal
Pork Chop,2 slice,166 cal
Blueberry,1 piece,338 cal
Pork Chop,2 g,181 cal
Red Lentils,2 slice,320 cal
Lamb Chop,2 piece,135 cal
Shrimp,1 g,283 cal
Zucchini,2 cup,195 cal
Bread,2 piece,260 cal
Chips,2 g,355 cal
French Fries,1 oz,217 cal
Bell Pepper,1 slice,49 cal
Dates,1 slice,68 cal
Fig,1 g,444 cal
French Fries,1 slice,575 cal
Apple,2 slice,117 cal
Almonds,1 oz,326 cal
Sandwich,1 cup,110 cal
Peanut Butter,1 piece,177 cal
Green Peas,1 cup,538 cal
Apple,1 oz,514 cal
Broccoli,2 piece,530 cal
Shrimp,1 slice,486 cal
Burger,2 cup,548 cal
Chicken Nugget,2 piece,566 cal
Shrimp,1 oz,448 cal
Watermelon,1 cup,174 cal
Watermelon,2 slice,537 cal
Sandwich,2 oz,478 cal
Papaya,1 g,100 cal
Mango,2 oz,225 cal
Cheese,1 g,597 cal
Eggplant,2 cup,545 cal
Tortilla,1 oz,3 cal
Basil,2 g,74 cal
Hummus,2 cup,192 cal
Strawberry,2 slice,56 cal
Chips,2 cup,299 cal
Chocolate,2 slice,52 cal
Orange,2 cup,450 cal
Brown Rice,2 cup,565 cal
Banana,1 oz,403 cal
Green Beans,1 slice,30 cal
Kale,2 piece,143 cal
Ginger,1 piece,139 cal
Turkey,1 g,7 cal
French Fries,1 cup,19 cal
Grapes,1 cup,414 cal
Pumpkin,2 piece,582 cal
Cauliflower,2 slice,182 cal
Celery,1 piece,38 cal
Almonds,1 cup,298 cal
Bagel,2 cup,258 cal
Tomato,2 cup,420 cal
Cabbage,1 oz,3 cal
Salsa,2 oz,42 cal
Sandwich,1 slice,235 cal
Maple Syrup,1 slice,190 cal
Broccoli,2 piece,417 cal
Pineapple,1 oz,578 cal
Cauliflower,1 piece,451 cal
Coconut,2 piece,32 cal
Chia Seeds,2 slice,521 cal
Donut,1 cup,459 cal
Ice Cream,2 cup,252 cal
Cashews,1 cup,74 cal
Hummus,2 g,203 cal
Watermelon,1 cup,31 cal
Beef Steak,1 g,594 cal
Pasta,1 g,143 cal
Black Beans,1 cup,373 cal
Sage,2 piece,52 cal
Cabbage,2 cup,32 cal
Mango,1 piece,176 cal
Tomato,1 cup,333 cal
Apple,1 piece,445 cal
Chia Seeds,2 slice,501 cal
Donut,2 piece,186 cal
Brownie,2 g,204 cal
Pizza,1 g,287 cal
Chicken Breast,1 cup,449 cal
Walnuts,1 slice,517 cal
Soup,2 oz,355 cal
Sweet Potato,1 cup,172 cal
Green Beans,2 piece,281 cal
Maple Syrup,2 oz,77 cal
Almonds,1 slice,468 cal
Avocado,2 piece,569 cal
Sweet Potato,2 oz,521 cal
Cheese,2 slice,5 cal
Pumpkin,2 oz,58 cal
Blueberry,2 oz,146 cal
Garlic,2 g,456 cal
Chips,1 piece,530 cal
Pumpkin,1 slice,598 cal
Pork Chop,2 piece,570 cal
Lamb Chop,2 piece,567 cal
Corn,2 piece,258 cal
Pasta,2 g,95 cal
Shrimp,2 oz,221 cal
Tomato,1 piece,356 cal
Eggplant,2 g,316 cal
Beetroot,1 piece,297 cal
Mint,2 g,569 cal
Sandwich,2 slice,160 cal
Radish,1 oz,336 cal
Avocado,2 cup,443 cal
Peas,1 g,338 cal
Corn,2 oz,408 cal
French Fries,2 slice,546 cal
Yogurt,2 g,561 cal
Potato,1 cup,365 cal
Hummus,1 g,192 cal
Pretzel,2 cup,327 cal
Egg,2 slice,70 cal
Donut,1 oz,475 cal
Cashews,1 g,228 cal
Ice Cream,1 slice,559 cal
Quinoa,1 oz,60 cal
Almonds,2 oz,522 cal
Butter,2 oz,288 cal
Avocado,1 g,152 cal
Chia Seeds,2 piece,584 cal
Beef Steak,2 cup,413 cal
Walnuts,1 slice,572 cal
Chicken Nugget,1 g,460 cal
Soy Milk,2 g,94 cal
Cheese,2 g,94 cal
Fig,1 oz,342 cal
Cauliflower,1 g,576 cal
Burger,2 oz,386 cal
Cauliflower,1 slice,514 cal
Apple Pie,2 cup,562 cal
Green Peas,2 oz,402 cal
Flax Seeds,1 cup,545 cal
Garlic,1 oz,598 cal
Brownie,2 slice,471 cal
Mango,2 cup,575 cal
Almonds,2 g,264 cal
Salsa,2 g,409 cal
Granola,1 slice,173 cal
Avocado,2 oz,200 cal
Cucumber,2 slice,135 cal
Chicken Breast,1 g,333 cal
Burger,1 piece,41 cal
Green Peas,1 oz,196 cal
Bell Pepper,2 cup,378 cal
Rosemary,2 oz,166 cal
Watermelon,2 slice,514 cal
Avocado,1 piece,109 cal
Cheese,1 g,271 cal
Peanut Butter,2 g,506 cal
Sandwich,1 cup,168 cal
Watermelon,2 cup,483 cal
Watermelon,1 cup,254 cal
Walnuts,1 g,164 cal
Soy Milk,2 slice,143 cal
Pizza,2 cup,368 cal
Tuna,2 piece,432 cal
Papaya,2 slice,202 cal
Grapes,1 slice,373 cal
Carrot,2 oz,119 cal
Chicken Breast,1 cup,351 cal
Sage,1 piece,595 cal
Potato,2 g,240 cal
Raisins,1 slice,289 cal
Pork Chop,2 g,319 cal
Soy Milk,1 cup,583 cal
Raspberry,2 g,208 cal
Beef Steak,1 slice,23 cal
Mango,1 oz,553 cal
Turkey,2 cup,565 cal
Chocolate,1 cup,112 cal
Cucumber,2 oz,347 cal
Cheese,2 piece,196 cal
Celery,1 cup,359 cal
Potato,2 g,38 cal
Zucchini,2 piece,286 cal
Eggplant,2 oz,348 cal
Carrot,1 slice,358 cal
French Fries,1 g,309 cal
Garlic,2 slice,380 cal
Pistachios,1 oz,273 cal
Egg,1 slice,121 cal
Tortilla,1 g,216 cal
Tofu,2 slice,556 cal
Dates,1 piece,205 cal
Pancake,1 piece,521 cal
Fig,2 slice,539 cal
Mint,2 oz,433 cal
Blueberry,1 slice,97 cal
Avocado,2 slice,243 cal
Ice Cream,1 oz,382 cal
Ginger,2 oz,247 cal
Blueberry,2 cup,277 cal
Turkey,1 piece,145 cal
Shrimp,1 slice,139 cal
Brownie,1 piece,418 cal
Maple Syrup,1 slice,22 cal
Cauliflower,1 cup,94 cal
Corn,1 oz,12 cal
Pretzel,1 slice,382 cal
Sage,1 slice,26 cal
Lamb Chop,2 slice,577 cal
Spinach,2 slice,476 cal
Raisins,1 oz,437 cal
Mint,1 piece,243 cal
Radish,2 slice,324 cal
Peanut Butter,2 piece,54 cal
Flax Seeds,1 cup,141 cal
Black Beans,1 slice,313 cal
Lamb Chop,1 oz,351 cal
Apple Pie,1 g,456 cal
Apple,2 slice,131 cal
Green Beans,2 piece,547 cal
Kale,1 g,362 cal
Turkey,2 cup,254 cal
Ice Cream,1 oz,531 cal
Sweet Potato,1 g,163 cal
Pretzel,1 cup,317 cal
Burger,2 slice,65 cal
Bacon,1 cup,209 cal
Walnuts,2 oz,455 cal
Avocado,1 slice,238 cal
Turkey,2 cup,330 cal
Sweet Potato,1 cup,594 cal
Bacon,2 oz,158 cal
French Fries,2 cup,159 cal
Oatmeal,1 slice,124 cal
Honey,2 piece,221 cal
Pineapple,2 cup,277 cal
Avocado,1 slice,269 cal
Chicken Breast,2 oz,38 cal
Kale,2 g,266 cal
Blueberry,1 piece,87 cal
Burger,2 g,222 cal
Donut,2 g,238 cal
Corn,1 slice,564 cal
Bagel,2 oz,365 cal
Corn,1 g,453 cal
Chicken Breast,1 piece,449 cal
Quinoa,2 g,502 cal
Pumpkin,2 g,203 cal
Strawberry,1 oz,341 cal
Rosemary,1 oz,278 cal
Honey,1 piece,226 cal
Granola,1 cup,214 cal
Pasta,1 piece,386 cal
Sandwich,1 slice,155 cal
Donut,2 piece,10 cal
Mint,1 oz,163 cal
Coconut,2 piece,58 cal
Hummus,2 oz,381 cal
Ice Cream,1 g,149 cal
Pancake,1 piece,452 cal
Watermelon,1 cup,533 cal
Apple Pie,2 oz,535 cal
Flax Seeds,2 piece,441 cal
Cashews,2 oz,315 cal
Pineapple,2 oz,415 cal
Donut,1 cup,353 cal
Cereal,2 g,313 cal
Zucchini,2 oz,404 cal
Tuna,2 piece,202 cal
Pistachios,2 piece,594 cal
Orange,1 piece,450 cal
Mint,2 cup,263 cal
Salsa,1 g,287 cal
Basil,1 slice,365 cal
Ice Cream,2 oz,181 cal
Black Beans,1 oz,147 cal
Mushroom,1 g,405 cal
Cauliflower,1 oz,493 cal
Strawberry,1 g,76 cal
Cupcake,2 g,332 cal
Coconut,1 cup,531 cal
Spinach,1 slice,294 cal
Sandwich,1 g,461 cal
Kale,1 g,1 cal
Lamb,1 cup,280 cal
Mushroom,2 piece,127 cal
Egg,1 piece,568 cal
Cauliflower,1 piece,596 cal
Banana,1 g,585 cal
Honey,1 slice,575 cal
French Fries,2 oz,507 cal
Fig,1 g,599 cal
Pasta,1 slice,452 cal
Chia Seeds,2 piece,461 cal
Coconut,1 cup,491 cal
Orange,1 oz,241 cal
Burger,1 g,309 cal
Cauliflower,2 oz,485 cal
Green Peas,1 cup,450 cal
Tortilla,2 cup,187 cal
Apple Pie,1 piece,359 cal
Ice Cream,2 cup,483 cal
Thyme,1 cup,56 cal
Cucumber,2 slice,531 cal
Brown Rice,1 cup,139 cal
Pancake,2 slice,27 cal
Egg,2 slice,156 cal
Pistachios,2 cup,522 cal
Orange,2 g,119 cal
Basil,2 g,497 cal
Blueberry,1 slice,500 cal
Ginger,2 piece,131 cal
Peas,1 g,27 cal
Corn,2 slice,234 cal
Corn,2 slice,468 cal
Brown Rice,1 piece,407 cal
Bagel,2 g,558 cal
Rosemary,1 slice,302 cal
Bacon,1 g,231 cal
Zucchini,1 cup,310 cal
Honey,2 oz,429 cal
Bagel,1 slice,161 cal
Orange,2 g,57 cal
Chicken Nugget,2 slice,244 cal
Donut,1 cup,126 cal
Pizza,2 cup,201 cal
Pasta,1 cup,2 cal
Pancake,1 oz,459 cal
Walnuts,2 g,407 cal
Cantaloupe,1 g,418 cal
Milk,2 piece,422 cal
Oatmeal,1 oz,254 cal
Pineapple,1 cup,395 cal
Red Lentils,1 piece,598 cal
Beef Steak,1 g,576 cal
Rosemary,1 slice,209 cal
Shrimp,2 piece,36 cal
Soy Milk,2 oz,414 cal
Chicken Breast,1 piece,300 cal
Brownie,1 piece,124 cal
Lamb Chop,1 piece,73 cal
Blueberry,2 slice,481 cal
Garlic,2 slice,173 cal
Raspberry,1 slice,369 cal
Zucchini,1 piece,545 cal
Corn,1 slice,362 cal
Flax Seeds,2 piece,502 cal
Flax Seeds,1 piece,36 cal
Ice Cream,2 oz,154 cal
Eggplant,2 g,87 cal
Chicken Breast,1 slice,559 cal
Bell Pepper,2 oz,213 cal
Sandwich,1 g,521 cal
Brownie,2 piece,69 cal
Granola,1 oz,522 cal
Brownie,2 g,315 cal
Red Lentils,2 piece,218 cal
Bagel,2 slice,510 cal
Dates,1 cup,600 cal
Chia Seeds,1 g,254 cal
Apple Pie,1 slice,441 cal
Cucumber,2 g,556 cal
Cupcake,2 cup,166 cal
Chips,2 cup,359 cal
Basil,2 piece,124 cal
Black Beans,1 g,322 cal
Beetroot,1 cup,74 cal
Walnuts,2 g,558 cal
Donut,1 piece,258 cal
Rosemary,1 slice,131 cal
Sage,2 g,513 cal
Potato,1 oz,492 cal
Pistachios,2 g,421 cal
Salmon,2 piece,534 cal
Spinach,2 oz,398 cal
Donut,1 slice,187 cal
Turkey,1 oz,137 cal
Maple Syrup,1 g,342 cal
Lamb Chop,2 cup,179 cal
Granola,2 oz,372 cal
Kale,2 slice,269 cal
Radish,2 piece,33 cal
Avocado,2 slice,337 cal
Almonds,2 g,271 cal
Bell Pepper,2 g,68 cal
Flax Seeds,2 piece,583 cal
Brown Rice,1 oz,261 cal
Granola,2 cup,356 cal
Walnuts,1 cup,225 cal
Bacon,2 oz,373 cal
Avocado,2 slice,528 cal
Radish,1 cup,301 cal
Basil,2 cup,565 cal
Tuna,2 oz,342 cal
Cucumber,2 g,563 cal
Salmon,2 g,132 cal
Bread,2 piece,267 cal
Peas,2 piece,595 cal
Fig,1 slice,393 cal
Papaya,1 cup,329 cal
Tomato,1 slice,271 cal
Cereal,1 cup,537 cal
Mint,1 cup,207 cal
Tuna,2 cup,271 cal
Avocado,2 cup,575 cal
Beetroot,1 oz,262 cal
